"id","name","sort","tbl_content_count","tbl_content_count_all","created","updated"
"1","農業，林業","100","0","0","2015-08-03 10:14:05","2015-08-03 10:14:06"
"2","漁業","200","0","0","2015-08-03 10:14:07",""
"3","鉱業，採石業，砂利採取業","300","0","0","2015-08-03 10:14:07",""
"4","建設業","400","0","0","2015-08-03 10:14:07",""
"5","製造業","500","0","0","2015-08-03 10:14:07",""
"6","電気・ガス・熱供給・水道業","600","0","0","2015-08-03 10:14:07",""
"7","情報通信業","700","0","0","2015-08-03 10:14:07",""
"8","運輸業，郵便業","800","0","0","2015-08-03 10:14:07",""
"9","卸売業，小売業","900","0","0","2015-08-03 10:14:07",""
"10","金融業，保険業","1000","0","0","2015-08-03 10:14:07",""
"11","不動産業，物品賃貸業","1100","0","0","2015-08-03 10:14:07",""
"12","学術研究，専門・技術サービス業","1200","0","0","2015-08-03 10:14:07",""
"13","宿泊業，飲食サービス業","1300","0","0","2015-08-03 10:14:07",""
"14","生活関連サービス業，娯楽業","1400","0","0","2015-08-03 10:14:07",""
"15","教育，学習支援業","1500","0","0","2015-08-03 10:14:07",""
"16","医療，福祉","1600","0","0","2015-08-03 10:14:07",""
"17","複合サービス事業","1700","0","0","2015-08-03 10:14:07",""
"18","サービス業（他に分類されないもの）","1800","0","0","2015-08-03 10:14:07",""
"19","分類不能の産業","1900","0","0","2015-08-03 10:14:07",""
