"id","tbl_big_category_id","tbl_mid_category_id","name","sort","tbl_content_count","tbl_content_count_all","created","updated"
"1","1","1","農業","100","0","0","2015-08-03 10:14:05","2015-08-03 10:14:06"
"2","1","1","養蚕農業","200","0","0","2015-08-03 10:14:07",""
"3","1","1","養鶏業","300","0","0","2015-08-03 10:14:07",""
"4","1","1","農業サービス業","400","0","0","2015-08-03 10:14:07",""
"5","1","1","園芸サービス業","500","0","0","2015-08-03 10:14:07",""
"6","1","2","林業","600","0","0","2015-08-03 10:14:07",""
"7","1","2","育林業","700","0","0","2015-08-03 10:14:07",""
"8","1","2","製薪業","800","0","0","2015-08-03 10:14:07",""
"9","2","3","漁業","900","0","0","2015-08-03 10:14:07",""
"10","2","3","真珠養殖業","1000","0","0","2015-08-03 10:14:07",""
"11","2","4","かき養殖業","1100","0","0","2015-08-03 10:14:07",""
"12","2","4","魚類養殖事業","1200","0","0","2015-08-03 10:14:07",""
"13","2","4","わかめ養殖業","1300","0","0","2015-08-03 10:14:07",""
"14","2","4","のり養殖業","1400","0","0","2015-08-03 10:14:07",""
